"model","count","files"
"encryptionKey","1","lib/encryption/index.ts"
"impersonateLog","2","docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md"
"jobQueue","2","docs/kimi-review/architecture_review_report.md;docs/reviews/kimi-agent-2026-07/architecture_review_report.md"
"js","14","legacy/bhd-real-estate/apps/api/src/jobs/trial-expiry.js;legacy/bhd-real-estate/apps/api/src/lib/auth.js;legacy/bhd-real-estate/apps/api/src/lib/company-limits.js;legacy/bhd-real-estate/apps/api/src/routes/auth.js;legacy/bhd-real-estate/apps/api/src/routes/buildings.js;legacy/bhd-real-estate/apps/api/src/routes/companies.js;legacy/bhd-real-estate/apps/api/src/routes/company-data.js;legacy/bhd-real-estate/apps/api/src/routes/contracts.js;legacy/bhd-real-estate/apps/api/src/routes/files.js;legacy/bhd-real-estate/apps/api/src/routes/health.js;legacy/bhd-real-estate/apps/api/src/routes/parties.js;legacy/bhd-real-estate/apps/api/src/routes/saas.js;legacy/bhd-real-estate/apps/api/src/routes/units.js;legacy/bhd-real-estate/apps/api/src/services/audit.js"
"legacyAppKvStore","15","app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/legacy-bridge/kv/extract-blobs/route.ts;docs/kimi-review/تقرير_البطء_والحلول.md;docs/reviews/kimi-agent-2026-07/تقرير_البطء_والحلول.md;lib/server/contractLifecycle.ts;lib/server/legacyKvStore.ts;lib/server/legacyOperationalRepair.ts;scripts/debug-accounting-9040.ts;scripts/debug-cheques-9040.ts;scripts/debug-contract-activation.ts;scripts/debug-contract-gaps.ts;scripts/inspect-contract-neon.ts;scripts/inspect-legacy-contract-unit.ts;scripts/inspect-neon-kv-sizes.ts;scripts/recover-address-book-from-kv.ts"
"legacyStoredFile","3","app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/legacy-bridge/files/[id]/route.ts;lib/server/legacyStoredFiles.ts"
"maintenanceRequest","6","app/api/admin/dashboard-insights/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/maintenance-requests/[id]/route.ts;app/api/admin/maintenance-requests/route.ts;app/api/me/maintenance-requests/route.ts;app/api/me/portal-insights/route.ts"
"notification","2","app/api/me/portal-insights/route.ts;lib/server/notifications.ts"
"organization","2","app/api/admin/properties/[id]/route.ts;lib/server/dataBackupSnapshot.ts"
"paymentGatewayConfig","3","app/api/payment/config/route.ts;app/api/payment/test/route.ts;lib/payment/credentials.ts"
"paymentPendingStorage","1","lib/server/repositories/paymentPendingRepo.ts"
"plan","10","app/api/plans/init/route.ts;app/api/plans/route.ts;app/api/subscriptions/change-requests/route.ts;app/api/subscriptions/me/route.ts;app/api/subscriptions/me/upgrade-quote/route.ts;app/api/subscriptions/route.ts;app/api/subscriptions/upgrade/route.ts;lib/server/dataBackupSnapshot.ts;lib/server/dataResetKeepProperties.ts;prisma/seed.ts"
"project","5","app/api/admin/dashboard-insights/route.ts;app/api/admin/projects/route.ts;lib/server/dataBackupSnapshot.ts;lib/server/ensureEntitySerials.ts;lib/server/migrateSerialsToBhd.ts"
"property","20","CHANGELOG_SECURITY_PERFORMANCE.md;app/[locale]/portal/owner/v2/page.tsx;app/api/admin/dashboard-insights/route.ts;app/api/admin/properties/[id]/route.ts;app/api/admin/properties/route.ts;app/api/bookings/route.ts;app/api/portal/owner-v2/route.ts;app/api/portal/owner/route.ts;app/api/scan/[userId]/route.ts;docs/kimi-review/architecture_review_report.md;docs/kimi-review/performance_review_report.md;docs/reviews/kimi-agent-2026-07/architecture_review_report.md;docs/reviews/kimi-agent-2026-07/performance_review_report.md;lib/archive/index.ts;lib/server/dataBackupSnapshot.ts;lib/server/ensureEntitySerials.ts;lib/server/migrateSerialsToBhd.ts;lib/server/notifications.ts;lib/server/siteStats.ts;lib/subscriptions/entitlements.ts"
"propertyBooking","3","app/api/scan/[userId]/route.ts;lib/server/dataBackupSnapshot.ts;lib/server/siteStats.ts"
"refreshToken","1","legacy/bhd-real-estate/apps/api/src/lib/auth.js"
"serialCounter","5","app/api/admin/users/fix-serial/route.ts;lib/server/dataBackupSnapshot.ts;lib/server/dataResetKeepProperties.ts;lib/server/migrateSerialsToBhd.ts;lib/server/serialNumbers.ts"
"serialNumberHistory","2","lib/server/dataBackupSnapshot.ts;lib/server/migrateSerialsToBhd.ts"
"siteContent","1","lib/server/dataBackupSnapshot.ts"
"smartSignature","1","app/api/portal/signature/route.ts"
"subscription","13","app/api/admin/dashboard-insights/route.ts;app/api/admin/users/route.ts;app/api/me/portal-insights/route.ts;app/api/subscriptions/change-requests/route.ts;app/api/subscriptions/me/cancel-change-request/route.ts;app/api/subscriptions/me/change-with-payment/route.ts;app/api/subscriptions/me/receipt/[documentId]/route.ts;app/api/subscriptions/me/route.ts;app/api/subscriptions/me/upgrade-quote/route.ts;app/api/subscriptions/route.ts;app/api/subscriptions/upgrade/route.ts;lib/server/dataBackupSnapshot.ts;lib/subscriptions/entitlements.ts"
"subscriptionChangeRequest","6","app/api/subscriptions/change-requests/route.ts;app/api/subscriptions/me/cancel-change-request/route.ts;app/api/subscriptions/me/change-with-payment/route.ts;app/api/subscriptions/me/route.ts;app/api/subscriptions/route.ts;lib/server/dataBackupSnapshot.ts"
"subscriptionHistory","6","app/api/subscriptions/me/change-with-payment/route.ts;app/api/subscriptions/me/receipt/[documentId]/route.ts;app/api/subscriptions/me/route.ts;app/api/subscriptions/route.ts;lib/accounting/data/dbService.ts;lib/server/dataBackupSnapshot.ts"
"task","1","lib/server/dataBackupSnapshot.ts"
"tenantAlert","4","app/[locale]/portal/tenant/v2/page.tsx;app/api/portal/alert/route.ts;app/api/portal/tenant-v2/route.ts;lib/payment/accounting-link.ts"
"tenantScore","5","app/[locale]/portal/owner/v2/page.tsx;app/[locale]/portal/tenant/v2/page.tsx;app/api/portal/owner-v2/route.ts;app/api/portal/tenant-score/route.ts;app/api/portal/tenant-v2/route.ts"
"tenantTask","4","app/[locale]/portal/tenant/v2/page.tsx;app/api/portal/task/route.ts;app/api/portal/tenant-score/route.ts;app/api/portal/tenant-v2/route.ts"
"tokenBlacklist","2","docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md"
"transaction","1","lib/server/dataBackupSnapshot.ts"
"ts","15","AFTER_FIX_GUIDE.md;CHANGELOG_SECURITY_PERFORMANCE.md;docs/DAILY-CONTEXT.md;docs/DATABASE-SETUP-AND-MIGRATION.md;docs/SCALING-DATABASE.md;docs/kimi-review/performance_review_report.md;docs/kimi-review/plan-deep-review.md;docs/kimi-review/تقرير_البطء_والحلول.md;docs/kimi-review/تقرير_التحقق_من_الرفع.md;docs/reviews/kimi-agent-2026-07/performance_review_report.md;docs/reviews/kimi-agent-2026-07/plan-deep-review.md;docs/reviews/kimi-agent-2026-07/تقرير_البطء_والحلول.md;docs/reviews/kimi-agent-2026-07/تقرير_التحقق_من_الرفع.md;docs/reviews/kimi-agent-2026-07/تقرير_المراجعة_الشاملة_النهائي.md;scripts/apply-kimi-update.ps1"
"unit","1","legacy/bhd-real-estate/tools/test-company-isolation.js"
"uploadedFile","2","docs/kimi-review/security_review_report.md;docs/reviews/kimi-agent-2026-07/security_review_report.md"
"user","56","app/[locale]/portal/owner/v2/page.tsx;app/[locale]/portal/tenant/v2/page.tsx;app/api/address-book/route.ts;app/api/admin/address-book/bulk-ensure-from-users/route.ts;app/api/admin/dashboard-insights/route.ts;app/api/admin/impersonate-session/route.ts;app/api/admin/legacy-bridge/data-health/route.ts;app/api/admin/properties/[id]/route.ts;app/api/admin/restore-session/route.ts;app/api/admin/users/[id]/ensure-address-book/route.ts;app/api/admin/users/[id]/impersonate/route.ts;app/api/admin/users/[id]/linked-contact/route.ts;app/api/admin/users/[id]/reset-password/route.ts;app/api/admin/users/[id]/route.ts;app/api/admin/users/create-from-contact/route.ts;app/api/admin/users/fix-serial/route.ts;app/api/admin/users/route.ts;app/api/auth/register/route.ts;app/api/bookings/route.ts;app/api/debug-auth/route.ts;app/api/login/route.ts;app/api/me/maintenance-requests/route.ts;app/api/portal/auto-account/route.ts;app/api/portal/owner-v2/route.ts;app/api/portal/owner/route.ts;app/api/portal/tenant-v2/route.ts;app/api/portal/tenant/route.ts;app/api/scan/[userId]/route.ts;app/api/scan/contact/[contactId]/route.ts;app/api/subscriptions/change-requests/route.ts;app/api/subscriptions/me/change-with-payment/route.ts;app/api/subscriptions/route.ts;app/api/subscriptions/upgrade/route.ts;app/api/user/linked-contact/route.ts;docs/kimi-review/security_review_report.md;docs/kimi-review/تقرير_البطء_والحلول.md;docs/reviews/kimi-agent-2026-07/security_review_report.md;docs/reviews/kimi-agent-2026-07/تقرير_البطء_والحلول.md;legacy/bhd-real-estate/apps/api/prisma/seed.js;legacy/bhd-real-estate/apps/api/src/lib/auth.js;legacy/bhd-real-estate/apps/api/src/routes/auth.js;legacy/bhd-real-estate/apps/api/src/routes/saas.js;lib/auth.ts;lib/portal/contractsForUser.ts;lib/server/bhdOidcUser.ts;lib/server/dataBackupSnapshot.ts;lib/server/dataResetKeepProperties.ts;lib/server/legacyBridge.ts;lib/server/migrateSerialsToBhd.ts;lib/server/notifications.ts;lib/server/prismaUserPhoneExtension.ts;lib/server/siteStats.ts;lib/server/syncUserToAddressBook.ts;lib/subscriptions/entitlements.ts;prisma/seed.ts;scripts/check-admin.ts"
"userAccountingRole","1","lib/server/dataBackupSnapshot.ts"
