model,field,type,optional,list,attributes,description,row_kind
AutoUserAccount,userId,String,yes,no,// رابط بالمستخدم (بعد الإنشاء),,field
AutoUserAccount,username,String,no,no,@unique // اسم المستخدم التلقائي,,field
AutoUserAccount,tempPassword,String,no,no,// كلمة المرور المؤقتة (مشفّرة),,field
AutoUserAccount,role,String,no,no,// الدور: TENANT / OWNER / MANAGER,,field
AutoUserAccount,classification,String,no,no,// التصنيف من دفتر العناوين,,field
AutoUserAccount,status,AutoAccountStatus,no,no,@default(PENDING),,field
AutoUserAccount,sentVia,String,yes,no,// طريقة الإرسال: SMS / EMAIL / WHATSAPP,,field
AutoUserAccount,sentAt,DateTime,yes,no,,,field
AutoUserAccount,activatedAt,DateTime,yes,no,,,field
AutoUserAccount,createdAt,DateTime,no,no,@default(now()),,field
AutoUserAccount,createdBy,String,no,no,// من أنشأ الحساب,,field
AutoUserAccount,,,,,@@index([contactId]),,model-attribute
AutoUserAccount,,,,,@@index([userId]),,model-attribute
AutoUserAccount,,,,,@@index([status]),,model-attribute
AutoUserAccount,,,,,@@index([role]),,model-attribute
PaymentGatewayConfig,id,String,no,no,@id @default(cuid()),,field
PaymentGatewayConfig,provider,String,no,no,@unique,,field
PaymentGatewayConfig,isEnabled,Boolean,no,no,@default(false),,field
PaymentGatewayConfig,displayNameAr,String,no,no,"@default("""")",,field
PaymentGatewayConfig,displayNameEn,String,no,no,"@default("""")",,field
PaymentGatewayConfig,apiKey,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,apiSecret,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,merchantId,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,storeKey,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,outletRef,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,profileId,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,entityId,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,accessToken,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,publicKey,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,sandbox,Boolean,no,no,@default(true),,field
PaymentGatewayConfig,webhookUrl,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,successUrl,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,cancelUrl,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,metadata,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,lastTestedAt,DateTime,yes,no,,,field
PaymentGatewayConfig,lastTestResult,String,yes,no,"@default("""")",,field
PaymentGatewayConfig,createdAt,DateTime,no,no,@default(now()),,field
PaymentGatewayConfig,updatedAt,DateTime,no,no,@updatedAt,,field
PaymentGatewayConfig,updatedBy,String,yes,no,,,field
PaymentGatewayConfig,,,,,@@index([provider]),,model-attribute
PaymentGatewayConfig,,,,,@@index([isEnabled]),,model-attribute
